Sentence,Quad-Add-One,Quad-Add-K,p_quad_token_type
"वहीं  टेलर  के  दूसरे  एल्बम  ' फियरलेस’ ने  चार  ग्रैमी  अवॉर्ड  जीते  थे  जिनमें  ' यू  बिलोंग  विद  मी’ और  ' लव  स्टोरी ' जैसे  गाने  शामिल  थे| वह  कई  ग्रैमी  अवार्ड  जीत  चुकी  हैं , जिसमें  2010 एल्बम  ऑफ़  द  ईयर  अवार्ड  के  लिए  लोकप्रिय  एल्बम  फियरलेस  शामिल  हैं ।",0.0,0.0,0.0
नारियल  का  तेल  स्किन  से  लेकर  बालों  तक  के  लिए  खूब  फायदेमंद  होता  है ।,5.201368043156081e-107,2.3751197333028925e-103,3.750254134982398e-125
वे  सिपाही  से  तेल  निकाल  लेने  की  बात  पूछ  बैठे ।,9.077265899931992e-86,2.034493353708162e-83,4.791568646815187e-94
लकड़ियों  की  कटाई  से  जंगलों  को  भी  नुकसान  पहुंचता  है ।,2.9665598320268854e-83,1.6128053440088183e-80,4.7891548093035483e-94
इंजन  और  पावर  की  बात  की  जाए  तो  इस  बाइक  में  97.2 सीसी  का  इंजन  दिया  गया  है  जो  कि  8.24 बीएचपी  की  पावर  और  8.05 न्यूटन  मीटर  का  टार्क  जनरेट  करता  है ।,1.0311927512463165e-216,2.930598247714692e-207,6.5718969619258935e-273
"पूर्णिमा  एक  साल  में  कई  बार  आती  है , लेकिन  शरद  पूर्णिमा  का  विशेष  महत्व  माना  जाता  है .",1.0143706096292976e-150,1.2370081060300638e-146,3.748069787701552e-173
"म्हाडा  जमीन  पर  अवैध  स्कूल - कॉलेज , बच्चों  की  जान  से  खिलवाड़  क्यों ?",5.878891454411635e-135,2.4689148902342475e-132,4.7891010651004114e-142
जो  आप  सभी  के  प्रतियोगी  परीक्षाओं  हेतु  बहुत  ही  beneficial है ।,9.091919836292859e-91,6.41747502738802e-88,8.012772605808322e-102
गलत  निर्णय  से  बिजली  का  बिल  भी  अधिक  आ  सकता  है  और  उचित  ठंडक  से  भी  वंचित  रह  सकते  हैं ।,2.792849557295986e-149,2.8980472668542604e-144,8.209572005875193e-172
शहर  में  भी  लोग  इस  तरह  की  समस्याओं  से  परेशान  हैं ।,6.643254925405351e-76,3.8400921400901074e-72,8.013382299101836e-102
इस  वर्ष  रेडक्रॉस  दिवस  के  100 वर्ष  पूर्ण  होने  पर  कीप  क्लेपिंग  फॉर  वॉलंटियर्स  थीम  के  तहत  स्वयंसेवकों  का  शारीरिक  दूरी  बनाए  रखते  हुए  एक  दूसरे  का  तालियां  बजाकर  अभिनंदन  किया  गया ।,3.535244364299364e-234,6.809764559743142e-227,3.95736235805369e-265
इसके  साथ  ही  कोरोना  का  पहला  डोज  लेने  वालों  की  संख्या  4745494 तथा  दूसरा  डोज  लेने  वालों  की  संख्या  643855 है ।,4.208238563785583e-149,1.5137519273039886e-143,1.377545703327428e-179
जिले  भर  में  कोरोना  वायरस  संक्रमण  को  रोकने  के  पुख्ता  इंतजाम  किए  गए  हैं । ',2.9073846584050624e-92,2.4063267017938614e-87,6.270415062457745e-133
छात्र  नेता  नमन  पुंज  का  कहना  है  कि  ऐसे  संवेदनशील  मामलों  में  प्रशासन  को  त्वरित  संज्ञान  लेने  की  जरूरत  है ।,3.951969010861562e-142,6.495929795830053e-137,8.209762716692605e-172
"जिसमें  10 रेड  बेल्ट , चार  ऑरेंज  बेल्ट , दो  येल्लो  बेल्ट , दो  ग्रीन  बेल्ट , दो  परपल  बेल्ट , दो  परपल  स्ट्रीप  बेल्ट , दो  ब्राउन  बेल्ट  दिया  गया ।",0.0,0.0,0.0
हाईस्कूल  के  970 और  इंटर  के  4398 परीक्षार्थी  अनुपस्थित  रहे ।,7.010997131811536e-83,2.8172754548035954e-80,4.7891657024706485e-94
जिसे  वह  वही  छोड़़कर  फरार  हो  गए ।,1.1213786987487038e-55,1.3497442730975544e-53,1.024370976548716e-70
कंकर - कंकर  में  शंकर  का  विज्ञान  क्या  है ?,4.318959264100668e-79,6.971935981642323e-77,2.8636539008948836e-86
"पानी  निकासी  की  व्यवस्था  ना  होने  के  कारण  घरों  का  पानी  खुले  प्लाटों  में  जमा  हो  रहा  है , जहां  गदंगी  पनप  रही  है ।",4.871533761790042e-193,1.172319905063966e-187,8.221164977540122e-220
"इसलिए , मुझे  लगता  है  कि  वह  इस  समय  पूरा  गेंदबाज  है । """,2.85174555080825e-126,4.548680747518667e-124,1.0243510196908263e-142
एजेंसी  चालकों  से  किसी  तरह  निगम  काम  चला  रहा  है ।,1.6687659358913695e-79,6.5669102912639886e-77,4.804630383848922e-94
ऐसे  परीक्षार्थियों  को  अटेंडेंस  में  भी  50 प्रतिशत  तक  की  छूट  मिलेगी ।,1.4652654622611844e-91,5.096864325049662e-88,1.3408689756070664e-109
बिग  बॉस  OTT की  ट्रॉफी  जीतने  के  बाद  दिव्या  अग्रवाल  को  लेकर  खबरें  हैं  कि  सलमान  खान  के  शो  बिग  बॉस  सीजन  15 में  भी  एक्ट्रेस  नजर  आ  सकती  हैं ।,1.7986727435304793e-213,1.056285087890778e-205,1.404243460480101e-249
लक्ष्य  का  पीछा  करने  उतरी  इंडसवैली  की  टीम  महज  81 रन  ही  बना  सकी ।,3.927065699610976e-99,4.640970292953533e-95,3.747215694544175e-125
यह  प्रतिकूल  दिशा  में  जा  रही  है ।,2.096402539753632e-50,3.877613058551672e-48,1.0299352568954328e-70
"मार्को , डॉ .",3.5121556291685096e-55,6.85706575218605e-55,1.672455620929977e-56
"जियो  के  पास  2 , 599 रुपये , 2 , 399 रुपये  और  2121 रुपये  के  प्लान  हैं .",2.631096782547697e-184,8.51372377463273e-182,2.8635663084705136e-194
ग्रामीण  कार्य  विभाग  के  प्रमंडल  एक  और  दो  के  तहत  फेज  वन  में  बनायी  गयी  नई  सड़कों  के  चौड़ीकरण  का  प्रस्ताव  फेज  टू  के  तहत  लिया  गया ।,2.3204487305363745e-203,4.1454366890012665e-197,3.0017392605812047e-226
एसपी  सिटी  रणविजय  सिंह  का  कहना  है  कि  पूरी  घटना  के  संबंध  में  एफआईआर  दर्ज  कर  ली  गई  है  और  जल्द  ही  होटल  मालिक  और  दूसरे  आरोपियों  को  गिरफ्तार  किया  जाएगा .,2.618982829139313e-202,1.4112610054223855e-193,2.3507451080218798e-257
श्री  कृष्ण  जन्म  स्थान  पर  त्रिस्तरीय  सुरक्षा  व्यवस्था  के  अलावा  कमांडो  हर  संदिग्ध  पर  नजर  बनाए  हुए  हैं ।,3.6859929113596745e-130,3.6130449204191214e-125,2.933118823520322e-156
इसमें  पांच  लाख  52 हजार  के  करीब  पुरुषों  और  पांच  लाख  78 हजार  के  करीब  महिलाओं  ने  अपने  मत  का  प्रयोग  किया  है ।,2.939000446874384e-165,1.756455193658239e-159,3.845607347857864e-195
फिर  से  मार्शल  लॉ  की  वापसी  हुई .,3.066643434163191e-60,3.3938739253046574e-58,1.024116521338842e-70
भरोसे  में  आकर  डिलेवरी  बॉय  ने  उसे  कैमरा  दे  दिया ।,6.086413808215148e-85,2.127502465943488e-82,4.789322689454094e-94
"मेरा  छोटा  भाई  है , तो  उसे  राखी  बांधने  के  बाद  उसे  गिफ्ट  देती  हूं ।",2.543691854475733e-137,2.8450993982742054e-134,8.01012455975113e-150
ये  स्टडी  हेल्थ  जर्नल  गट  में  प्रकाशित  हुई  है .,5.417369975166071e-72,1.8087872757048323e-69,2.8664661796800042e-86
भारत  की  ओर  से  युजवेंद्र  चहल  सबसे  कामयाब  गेंदबाज़  रहे .,1.6219442316238968e-76,1.1547853805792374e-73,4.793003637514724e-94
उन्होंने  कहा  कि  इंटर  पास  सभी  छात्र - छात्राओं  को  बीए  और  बीएससी  में  प्रवेश  दें ।,9.97292292601466e-114,1.9334117370078587e-109,1.0553548400927356e-140
मंगलवार  को  विशेष  आवासीय  विद्यालय  नाभा  हाउस  ऋषिकेश  में  पूर्व  पीएम  स्व .,8.94899463355097e-96,1.019995172545738e-92,1.340081327235387e-109
"यही  कारण  है  कि  केरजीराव  सरकार  ने  अनुमति  नहीं  दी  थी , जिसके  खिलाफ  हाई  कोर्ट  का  दरवाजा  खटखटाया  गया  था ।",8.775841161799411e-164,7.490481692602898e-159,1.7556420910119637e-196
बैठक  में  खासतौर  पर  दोनों  राज्यों  के  डेंगू  पीडि़तों  पर  विचार  किया  गया ।,1.2183232745303059e-95,3.522321609113141e-92,2.2438898614336934e-117
"इसके  अलावा , यदि  यह  एक  ब्रांडेड  ट्रेवल  क्रेडिट  कार्ड  है  तो  आपको  एक्स्ट्रा  पॉइंट्स  मिलते  हैं  यदि  आप  उस  विशेष  ब्रांड  के  साथ  खर्च  या  खरीदारी  करते  हैं ।",5.2558747170898815e-233,2.6258574655739953e-227,1.0785370973439985e-258
करौली - धौलपुर  सांसद  डॉ  मनोज  राजोरिया  ने  सोमवार  को  केन्द्रीय  पर्यटन  एवं  संस्कृति  राज्यमंत्री  डॉ  महेश  शर्मा  से  मुलाकात  की  और . . . . . . . . . .,9.524063157145266e-200,2.010398469927153e-191,2.3601286961254095e-257
4 नवंबर  को  सुबह  3 बजकर  24 मिनट  से  चतुर्थी  तिथि  का  आरंभ  होगा .,7.688636853692447e-110,8.090492890090301e-106,3.7473427056288816e-125
इस  अभियान  के  माध्यम  से  जन  जागरण  का  काम  भी  किया  जाएगा ।,6.803941569195771e-81,4.009245092881149e-77,1.3491529947907671e-109
एक  तरफ  तो  युद्ध  मे  विजयी  होने  पर  इस  पृथ्वी  का  सबसे  बड़ा  सम्राट  बनने  की  लालसा  और  दूसरी  तरफ  छल  से  गुरु  हत्या  करने  पर  नरक  वास !,2.8141566080304396e-215,1.413289421017911e-209,5.02632243681548e-234
"शुष्क , लुप्तप्राय  और  समस्याग्रस्त  त्वचा  के  लिए  इसका  उपयोग  करने  की  अनुशंसा  की  जाती  है ।",2.813725116061531e-135,1.7098145933719722e-131,1.340484777410145e-157
इससे  वह  बेहोश  हो  गए ।,6.292942348689027e-37,7.406861783278396e-35,3.666289222879798e-55
इन  लोगों  ने  पूर्वी  क्षेत्र  को  तहस  नहस  कर  दिया  है ।,2.2389827035858003e-75,4.1917372378836293e-72,8.029353720280219e-102
पार्क  में  गंदा  पानी  भरने  के  कारण  उसमें  मच्छर  पनप  रहे  हैं ।,5.41450405057869e-91,1.181073138932459e-87,1.3429069598030708e-109
राजनीति  में  ऐसे  सौ  फीसदी  परिणाम  कभी  नहीं  आते ।,2.865995287978144e-74,9.019759603069636e-72,2.8636262690379906e-86
वहीं  आगे  की  कहानी  इसी  घटना  के  इर्दगिर्द  घूमती  है ।,8.830974201705863e-80,5.8393450233249694e-77,4.798193149832574e-94
उन्होंने  कहा  है  कि  स्क्रिप्ट  पूरी  लिख  ली  गयी  है  और  कटरीना  इस  फिल्म  में  लीड  रोल  में  नजर  आएगी ।,5.202228309234983e-138,1.1012699421720255e-132,8.2470258916263e-172
"ऐसे  में  तैयार  रहिए  नए  भाषण , घोषणा  और  वादों  के  लिए ।",3.1592143399506724e-110,9.0109467894464e-108,1.715181019284646e-126
इससे  पहले  बहनों  में  मंदिरों  में  जाकर  पूजा - अर्चना  की ।,1.0341351949463963e-78,1.827430479495244e-75,8.023245869242506e-102
नारायण  साई  की  तलाश  के  लिए  बनाई  गई  सूरत  पुलिस  की  छ: टीमों  ने  दावा  किया  है  कि  उन्हें  मामले  से  जुड़े  अहम  सुराग  हासिल  हुए  हैं ।,1.683442761888584e-195,4.566449550147116e-189,3.00248187953968e-226
कितना  अच्छा  बदलाव  है !,1.4843375835354089e-41,2.965827089690882e-40,2.188441471806037e-47
जनपद  अध्यक्ष  देवेंद्र  प्रताप  सिंह  ने  फोन  कर  वन  अमला  को  इस  घटना  की  सूचना  दी ।,1.342947325198238e-117,2.505686634419839e-113,1.0481921935117364e-140
इंस्टेंट  मैसेजिंग  एप  व्हाट्सएप  Whatsapp लंबे  समय  से  चर्चा  में  बने  डार्क  मोड  Dark Mode को  लॉन्च  करने  की  तैयारी  है ।,1.4647437899746178e-152,4.7758254033102693e-147,1.3714482779078977e-179
बाल  विकास  कल्याण  के  लिए  भले  ही  सरकार  ने  बहुत  सी  योजनाएं  चलाई  हों  और  बाल  श्रम  उन्मूलन  के  लिए  भले  ही  कई  प्रावधान  किए  हों  लेकिन  यह  कटु  सत्य  है  कि  बच्चों  से  आज  भी  श्रम  करवाया  जाता  है ।,6.074776842198615e-293,1.0780424101192526e-283,0.0
एकेडमी  के  अंदर  सियासत  और  इससे  जुड़े  विवादों  से  इतर  ऑस्कर्स  की  पूरी  दुनिया  में  शोहरत  है .,2.547255172068485e-138,1.4419701704116537e-134,1.7528147959424073e-148
लॉकडाउन  अवधि  का  बिजली  बिल  या  किसी  भी  तरह  का  बिल  माफ  की  करने  की  घोषणा  की  हवा  निकल  रही  है ।,3.0407241486341296e-152,5.263857310184666e-147,1.3750677141913044e-179
शुक्रवार  को  तबियत  बिगड़ने  पर  यहां  से  जयपुर  ले  गए ।,8.926078023798966e-79,3.8102835694981575e-76,4.7912819752876645e-94
"अधिक  विधायकों  के  जहाज  पर  कूदने  के  साथ , पुडुचेरी  सरकार  एक  बड़े  संकट  की  ओर  बढ़  रही  है ।",3.13067000855466e-160,1.877159035962184e-156,6.282978500756754e-181
अब  जब  हड़ताल  खत्म  हुई  तो  सोने  के  भाव  बढ़  गए  हैं ।,2.137843300720276e-89,4.457975664950863e-86,1.3423558806788386e-109
भजनों  पर  भक्त  जमकर  नाचे ।,4.348076570191418e-50,1.7753474389967157e-48,3.660004519590705e-55
लोकल  को  वोकल  करने  के  साथ  साथ  ही  उसको  ग्लोबल  भी  किया  जा  सके  साथ  ही  मार्बल  एक्सपोर्ट  की  प्रक्रियाओं  को  सरल  किया  जाए ।,1.4406096658108126e-182,7.814572905021909e-177,6.416122610889604e-203
झांसी ।,5.593847734468053e-16,4.460305601715004e-15,4.6781604084870295e-24
वे  ड्रग्स  की  डिलवरी  और  पैसों  की  वसूली  के  लिए  कम  उम्र  के  बच्चों  का  इस्तेमाल  करते  हैं ।,1.3108485486702116e-129,6.192208413572537e-125,2.93504369295757e-156
"अभी  सरकार  न  ताे  न्यूनतम  समर्थन  मूल्य  का  कानून  बनाने  को  राजी  दिखाई  दे  रही  है , न  उक्त  कृषि  कानूनों  को  वापस  लेने  को  ही , जबकि  किसानों  का  कहना  है  कि  वे  उन्हें  वापस  लेने  के  तरीकों  पर  ही  बात  करेंगे  और  महज  कुछ  संशोधनों  के  सरकार  के  प्रस्ताव  को  मानकर  अपना  आन्दोलन  खत्म  नहीं  करेंगे ।",0.0,0.0,0.0
"उत्पाद  की  विशेषताएँ: 1 क्योंकि  फ़िल्टर  सामग्री  को  सिलेंडर  में  तब्दील  किया  जाता  है , फ़िल्टर  सामग्री  की  घनत्व  बड़ी  होती  है , इसलिए  धूल  कलेक्टर  में  कॉम्पैक्ट  संरचना  और  छोटी  मात्रा  होती  है ।",8.809395319115195e-295,4.726975334977553e-289,1.7955116144e-314
दरअसल  इस  खबर  के  आने  के  बाद  हुआवेई  को  चीनी  लोगों  का  काफी  विरोध  झेलना  पड़ा  था .,7.507723336413422e-128,1.8898376082324024e-123,1.7537793151918233e-148
"के  नाम  के  पश्चात्  पड़ा  जो  विद्या  एवं  गुण  दोनों  में  पूर्णताप्राप्त  प्रथम  एवं  सबसे  महान  गुरु  माना  जाता  था  और  जिसने  सबसे  पहले  साधारण  जनता  को  विद्या  और  सद्गुण  सिखलाया , जिसका  एकाधिकार  पहले  आभिजात्य  शासक  वर्ग  के  हाथ  में  था ।",0.0,0.0,0.0
वन  अरण्यपाल  सर्किल  धर्मशाला  में  प्रदीप  ठाकुर  ने  बताया  कि  वन  रक्षकों  की  भर्ती  में  फिजिकल  टेस्ट  पास  करने  वाले  अभ्यर्थियों  को  ऑनलाइन  एडमिट  कार्ड  जारी  कर  दिए  हैं ।,2.007767566924595e-205,5.403707934983198e-198,8.397059198687819e-242
आंगन  के  दूसरे  ओर  का  दरवाजा  खुला  पड़ा  था ।,3.6481685564445555e-77,1.101611947554212e-74,2.863560130440013e-86
वित्तीय  रूप  से  आप  तेज  गति  से  आगे  बढ़ेंगे  और  प्रॉपर्टी  की  खरीद  का  संकेत  है ।,1.6116574604933772e-124,2.094704969842809e-120,1.0480780792997176e-140
ऐसे  मामलों  का  सबसे  दुखद  पक्ष  यह  है  कि  वक्त  रहते  कोई  कार्रवाई  नहीं  की  जाती  है ।,1.6472982286691753e-118,7.347838993074776e-114,1.755767435425471e-148
बम्बई  उच्च  न्यायालय  के  आदेश  के  बाद  पिछले  सप्ताह  मामले  की  जांच  का  जिम्मा  सीबीआई  को  सौंपा  गया  था ।,3.055432046950608e-132,1.3050824666338306e-126,4.9085641112872266e-164
विधायक  पांचीलाल  मेड़ा  ने  कहा  कि  सरकार  ने  कि  सान  हित  में  योजनाएं  बनाई  हैं ।,9.535025745038991e-115,5.5525200086383634e-111,6.267457148151207e-133
बताया  कि  दुकानों  पर  कार्ड  धारकों  से  जानकारी  की  गई ।,6.053221999261052e-77,3.4435648938128807e-74,4.79371354646582e-94
विदिशा ।,4.0265438295660477e-16,3.2099459326948336e-15,4.678140614029026e-24
बहुजन  समाज  पार्टी  की  प्रमुख  मायावती  के  उत्पीड़न  के  आरोप  को  भी  गंगवार  ने  नकार  दिया ।,1.8192901226721356e-119,3.739090631401462e-115,1.0480803931636616e-140
"रेडमी  नोट  10 सीरीजरेडमी  नोट  10 कीमतरेडमी  नोट  10 सीरीज  लॉन्च  डेटरेडमी  नोट  10 लॉन्च  डेटरेडमी  नोट  10 फीचर्सरेडमी  नोट  10 प्रो  डिजिटल  डेस्क , नई  दिल्ली ।",2.856038815854679e-226,2.73204424779468e-221,3.8376970629627893e-243
एसडीएम  ने  मामले  को  दिखवाकर  शीघ्र  कार्रवाई  का  आश्वासन  दिया  है ।,7.504935345342646e-79,1.500343651612231e-75,8.019293373522199e-102
रूस  की  वैक्‍ सीन  Sputnik V पर  कई  देश  सवाल  उठा  रहे  हैं ।,7.9881287713503e-98,1.8061066272893707e-94,2.246036809422717e-117
भारी  मात्रा  में  इस  तरह  की  पोस्ट्स  के  कारण  ही  वो  सुरक्षा  एजेंसियों  के  निशाने  पर  आया ।,7.280843503327336e-130,1.870959615049593e-125,1.752889169033746e-148
खुर्शीद  आलम  बाबरी  मस्जिद  गिराए  जाने  के  20 वर्ष  बाद  लगभग  सभी  उर्दू  अखबारों  ने  इस  पर  विशेष  रिपोर्ट  प्रकाशित  की  और  सम्पादकीय  लिखे ।,1.6494546775043898e-185,2.2730973534557682e-179,6.415315010627562e-203
.,6.154040685579025e-07,2.4595265958439747e-06,2.801504492783922e-16
इन  कॉलोनीज़  के  लिए  सरकार  ने  अथॉरिटीज़  बनाई  हैं  जिनकी  स्वीकृति  से  ही  नए  प्रोजेक्ट्स  लांच  किए  जाते  हैं .,5.8160385495105705e-145,9.136568869709976e-141,4.907646075610147e-164
योग्यता  इंवायरमेंटल  इंजीनियरिंग/ इंवायरमेंटल  साइंस/ इंवायरमेंटल  प्लानिंग/ अर्बन  प्लानिंग/ लाइफ  साइंस/ माइक्रोबायोलपॉजी/ बायो  टेक्नोलॉजी/ फिजिक्स/ केमेस्ट्री  में  पीएचडी  हो ।,2.648864276881259e-155,2.170095157174159e-151,4.9028139945727045e-164
ईसीबी  के  मुख्य  कार्यकारी  टॉम  हैरिसन  ने  कहा  कि  इंग्लैंड  के  क्रिकेटर  और  उसके  क्रिकेट  निदेशक  व  पूर्व  कप्तान  एंड्रयू  स्ट्रास  समझते  हैं  कि  उनसे  क्या  उम्मीद  की  जाती  है ।,1.0180928514893296e-218,3.053790301809481e-211,1.404893001870803e-249
"मेरे  अंदर  जो  लेखक  व  कवि  का  व्यक्तित्व  था , वह  कहीं  न  कहीं  मुझे  बीएससी  करने  से  रोक  रहा  था .",1.7862538879979597e-178,3.4355573268674957e-174,1.7532034170046046e-196
एक  अमेरिकी  फेडरल  जज  ने  मंगलवार  को  आदेश  दिया  कि  फेसबुक  को  सामूहिक  मुकदमे  का  सामना  करना  पड़ेगा ।,1.1320023553185662e-131,4.876376605153342e-127,2.9356437225400897e-156
बात  जयपुरी  खाने  की  हो  और  जयपुरी  गट्टा  और  घेवर  न  हो  तो  बेकार  है ।,8.911704576505547e-123,1.5547780754059418e-119,6.2668653796412865e-133
हनुमान  का  परिवार  लगभग  दस  साल  पहले  गांव  के  बाहर  अपने  खेतों  में  घर  बनवाकर  रहता  है ।,6.291331074518372e-133,8.713829455990334e-129,1.753236086606916e-148
हादसा  गुरुवार  को  नॉर्थ  कैरोलीना  में  हुआ ।,1.1009041273332714e-60,1.1985965975512255e-58,1.0237981095644408e-70
"हरहुआ  विकास  खंड  क्षेत्र  में  कुल  13 न्याय  पंचायतों  में  75 ग्राम  प्रधान , 959 ग्राम  पंचायतों  के  वार्ड  सदस्य , 100 क्षेत्र  पंचायत  सदस्य , 04 जिला  पंचायत  सदस्य  का  निर्वाचन  होगा ।",1.165293065999e-311,6.815730691982585e-307,1.5e-323
गाड़ी  चलाते  वक्त  सावधानी  बरतें ।,3.6763310662419304e-45,3.2220156538968973e-43,3.660077790582287e-55
सबसे  अहम  बात  इस  बेटिओ  के  प्रति  लागए  गए  योजना  की  शुरुआत  भी  इसी  जगह  पौधे  लगाकर  की  गई  थी  तथा  पौधे  लगाकर  पूरा  वन  बेटिओ  को  समर्पित  कर  दिया  गया  था ।,5.397291665690695e-231,1.110466178459578e-223,3.9330196328056536e-265
"डिजिटल  डेस्क , ताइपे ।",6.32676834231004e-57,2.5299526243466386e-56,2.7975527026976373e-64
मैं  अच्छा  और  ताजा  महसूस  कर  रहा  हूं  और  अगर  फिर  से  टीम  में  बुलाया  जाता  है  तो  मैं  जाने  के  लिए  तैयार  हूँ ।,1.9761766310322107e-174,3.590504361828481e-168,6.418937606918929e-203
बेचते  समय  इन  चीनी  मिलो  की  कीमत  कितनी  थी  और  कितने  कीमत  पर  इन्हें  बेचा  गया  था ।,6.382661155274411e-136,4.215630446110638e-132,1.7547998894909238e-148
इसके  बाद  शाहरुख - सलमान  के  बीच  दुश्मनी  शुरू  हो  गई ।,4.795168872373414e-78,8.920856167509082e-75,8.056149084498342e-102
मुद्रा  कनवर्ट  करें  909 IQD में  SGD .,1.824137410900628e-58,2.9854639908358352e-56,1.023783847134666e-70
पूर्वी  नेपाल  के  लिम्बुवान  की  लिपि  का  लोप  हो  गया ।,1.011937208460135e-81,4.5945089859697017e-79,4.792195628405824e-94
बतादें  कि  वाराणसी  शक्तिनगर  मार्ग  पर  डाला  की  जा  रही  एक  कार  को  किसी  अज्ञात  वाहन  ने  टक्कर  मार  दिया ।,7.112731807306179e-145,2.0344184228353275e-139,8.200022974766381e-172
इस  लिहाज  से  यह  दलितों  की  विरासत  पर  अपनी  मुहर  लगाने  की  कोशिश  है ।,5.495419778230641e-104,2.723471602941956e-100,3.771511011826221e-125
"स्कूल , कालेज , अस्पताल , बस  स्टैंड  सहित  कई  स्थानों  पर  लगे  बोर्ड  पर  भी  पंफलेट  चिपका  दिए  गए  हैं ।",1.7850622126023456e-193,6.738146509558411e-190,2.2427267454038813e-213
रामभक्त  हनुमान  जी  के  स्मरण  मात्र  से  ही  लोगों  के  सारे  संकट  दूर  हो  जाते  हैं .,5.050438912583909e-119,2.4160326514438302e-114,1.0481589382702214e-140
चायना  सिर  पर  मिट्टी  के  पानी  भरे  तीन  घड़ेभरकर  गुनगुनाती  हुई  घर  की  राह  पर  चल  पड़ती  है ।,4.8852624060415155e-144,5.065820149060559e-140,2.931594532157e-156
एक  जुलाई  को  डॉक्टर्स  डे  है ।,9.85074559324718e-51,9.353816561628424e-49,6.129623221049345e-63
व्‍ यापार  और  व्‍ यवसाय  है  ही  नहीं ।,5.457713412835779e-66,1.2055406975611005e-63,1.7122269501054002e-78
"नई  दिल्ली , मानसून  ने  जुलाई  में  रफ्तार  पकड़  ली  है  लेकिन  निजी  मौसम  पूर्वानुमान  एजेंसी  स्काईमेट  के  अनुसार , अल  नीनो  के  प्रभाव  की  आशंका  अभी  भी  मंडरा  रही  है ।",2.4335198634690856e-264,1.0212151284233216e-258,3.852624608411985e-291
अब  एडवेंचर  गेम  को  दूसरी  जगह  भी  विस्तारित  करने  की  योजना  पर  काम  शुरू  किया  गया  है ।,2.6761328846915217e-116,9.521245561357401e-112,1.7622289423596938e-148
"3 घायलों  को  वायुसेना  के  हेलिकॉप्टर  से  रायपुर  लाया  गया , जिनमें  से  एक  ने  रास्ते  में  दम  तोड़  दिया ।",5.893800178085067e-168,1.1855568448560789e-163,1.0482350848218268e-188
अश्वघोष  की  यह  कविता  हमे  लड़ने  को  प्रेरित  करती  है  . . .,8.51395009581407e-93,1.3929142465691429e-89,1.3413870066365586e-109
वृश्चिक  राशिफल— आज  के  दिन  आप  कोई  भी  महत्वपूर्ण  कार्य  न  करें  उसीमें  में  आपकी  भलाई  होगी ।,4.152250471384832e-133,9.751289616878272e-129,1.7528442282629153e-148
जहां  अल्टो  वाहन  संख्या  यूके  05 बी  6825 को  रोक  जांच  की  गई ।,2.1167930236185084e-101,2.709046779661016e-98,2.242375657575448e-117
"यह  एक  शक्तिशाली  इंस्ट्रूमेंट  है , लेकिन  अगर  आप  सावधानी  से  सिस्टम  की  विदेशी  मुद्रा  व्यापार  के  लिए  मुफ्त  मेटाट्रेडर  4 मंच  क्षमताओं  को  ट्रैक  करते  हैं , तो  इस  क्षेत्र  में  बिना  अनुभव  के  लोग  भी  सर्विस  को  हैंडल  कर  पाएंगे , खासकर  अगर  उन्हें  पहले  से  ही  ट्रेडिंग  का  कुछ  ज्ञान  हो ।",0.0,0.0,0.0
"उसका  नारा  था  दुनिया  के  मजदूरों  एक  हो , तुम्हें  केवल  अपनी  जंजीरें  तोड़नी  हैं ।",3.791625410259474e-141,1.6915796390840648e-138,8.01028718100779e-150
एसएस  राजामौली  के  निर्देशन  में  दो  हिस्सों  में  बनी  ब्लॉकबस्टर  फिल्म  बाहुबली  की  प्रीक्वल  में  शिवगामी  की  यात्रा  दिखायी  जायेगी .,4.037591770764332e-159,1.4895431989544262e-154,8.199748286021744e-172
इंडियन  रेलवे  Indian Railway किसानों  की  आय  बढ़ाने  के  लिए  किसान  स्पेशल  ट्रेन  चला  रही  है ।,3.015579706863512e-114,1.233299206264043e-109,1.0508050328244217e-140
"इन  तीन  मैस्कट  रोबोट  को  कांग्कोंग , लियानलियन  और  चेनचेन  नाम  दिया  गया ।",3.249317639263236e-118,8.832769654171196e-116,2.8674052701915367e-134
पशुओं  के  लिए  भी  यह  खरपतवार  अत्याधिक  विषाक्त  होता  है ।,1.3852205315096235e-77,1.109344158513882e-74,4.7933537931203805e-94
इससे  ग्रामवासियों  को  बेहद  परेशानी  होती  है ।,6.760320670565582e-55,1.2712881779915453e-52,1.0256432165781973e-70
"कैश  पर  लगी  पाबंधि  के  बाद  से  पूरे  देश  में  कई  जगह  लोग  परेशान  रहे  थे , वहीं  बैंकों  में  भी  पर्याप्त  धन  नहीं  होने  के  चलते  यह  दिक्कत  और  अधिक  विक्राल  हो  गई  थी ।",1.4811430194237575e-272,4.382056404655932e-265,2.3497754081575376e-305
नागालैंड  के  बारे  में  कुछ  ऐसी  बातें  जो  भारत  में  कम  लोगों  को  पता  हैं !,8.614477051740822e-117,8.701208532379311e-113,6.266681656996958e-133
वहीं  बड़े  व्यापारियों  को  अपने  साधन  से  कानपुर  और  मुगलसराय  से  पेट्रोल - डीजल  मंगाना  पड़  रहा  है ।,7.064703850543628e-134,1.1220553309913732e-129,2.946802315317375e-156
